Questions,Answers
What are the most important subjects in Second Year which will be needed in future and also help in core placement ?,"So in your 2nd year according to curriculum you will have many different core subjects like Fluid mechanics,Thermodynamics and heat transfer, Analysis and synthesis of mechanism, Projection ans spatial graphics, Material science and technology, Machine dynamics, Primary production process each of which has it own importance which depends on you either you will be doing higher studies, targeting core jobs or preparing for GATE so you have to choose according to you future on which subjects will you focus more like for example in Gate you need an overview of all the curriculum you will be taught in your entire degree and in Higher studies you will be basically focusing on 1 or a bunch of subjects for your research , you have to study those subjects in depth and also out of the curriculum for your higher studies.  "
Communication in english is bit problematic for students who are not from english medium background which makes them feel left out at times.What should they do about it ?,"When it comes to interacting with batchmates and professors, English wont act as a barrier but when it comes to interviews and placement process, English plays aa important role and you must polish your communication skills for the same."
"If we want to pursue an mtech or ms, what are the other allied branches other than mechanical engineering ?","Your options for pursuing Masters or M.Tech apart from Production and Mechanical Engineering are namely Industrial Engineering, Operations Research, Manufacturing Sciences, Supply Chain Mangement, Masters in Management . You can appear in GATE to appear for Computer Science, Engineering Sciences and other branches of your choice "
Which companies (gov and pvt) specifically recruit production engineers and for which post ?,"No company come for Production engineers only basically some comapanies like ITC, Tata , Bajaj Auto etc allow Mechanical and Production deptartment students only for their job role as.GET and for Government job roles it all depends vacancy in any particular year on the basis of which PSU visit University for their recruitment."
What are the possible job profiles that we can apply for in the Core domain ?,The most common job profile open for freshers is Graduate Engineer Trainee(GET).But it also varies from company to comapny as some companies like Airbus offers a bunch of positions which are specific according to their requirements.
why the toilets are not good enough and also bad door locks ?,"Jadavpur University being a state funded university faces shortage of monetary funding  which results in poor infrastructure and at university level they are doing their best to provide the best facility they can , but often they have turn to the alumnis for funding."
Does studying Production Engineering help in CAT preparation ?,"No, you have to prepare it by yourself department curriculum will not help you in CAT preperation , you can take advice and strategy from department seniors and professors about your preperation.  "
"why the department is after Mechanical, in the priority of freshers in placements? IMO Production should not be considered as a sub branch of mech rather it's more applied branch than mech.","Sorry, you have some kind of wrong information we are not lagging behind in terms of placements with respect to mechanical engineering, but you have to keep in mind that different departments have differnet curriculum on the basis of which they are offered job roles so as a Mechanical engineers deals with only core part through his entire degree so it is probable that they will get job role which demands more core skills as compare to a Production engineer. "
What are the job roles in the Core domain for us?,The most common job profile open for freshers is Graduate Engineer Trainee(GET).But it also varies from company to comapny as some companies like Airbus offers a bunch of positions which are specific according to their requirements.
Is the production engineering curriculum gives us enough exposure industrial sector?,"Yes kind of, you will get a good overview of how the industries work both in terms of it's core concepts of machines performing the operations and also how to manage the employees and operations to get the job done. You will have a good grip on technical aspects and also how to manage the work properly for industries."
Give me some suggestions regarding Placements & Internships .,"At first you have to decide your domain meaning on which sector do you want to work when you will be graduated from Jadavpur University , then for on campus internships and placements many compaines visit university if you have the required skills and smart enough to make them understand why you will be their their best for the particular job role then you can easily grab a internship or placement. "
Is there any book(s) which is important for 4 years?,"There are several overlapping concepts and books which you will be requiring across your four years in Production Engineering:
1. Engineering Mathematics- B. S. Grewal ( important if you are applying for GATE and other competitive exams)
2. Strength of Materials - Timoshenko and Young ( Important for 2nd and 3rd Year) 
3. Theory of Machines- S.S Rattan ( Important for 2 and 3rd Year)
4. DeGarmo's Materials and Process in Manufacturing (Bible of Production Engineering) 
5. A textbook of Machine Design - RS Khurmi
6. Workshop Technology - W. A. J Chapman 
7. Steam and Gas Turbines and Power Plant Engineering -  R. Yadav"
What is the top position achivement for a production engineering student ?,"You have to be more specific with your question if at all you are asking interms of academics then also you can geta very good rank in CAT and Complete your MBA just after graduation from very prestigious Institutes like IIM, also by getting a good rank in GATE one can complete his/her Mtech from premium institutes like IITs and also can perform very good in GRE or GMAT and pursue their career in top foreign universities just after their graduation from Jadavpur. "
What is the process of 3rd year on-campus internship in MNC's?,"At first you have to decide on which domain you are targeting your future then go for that domain ingternship that are available either on campus or off campus for core sector some companies like ITC,AIRBUS visit for their on campus internships, for non-core sector comapnies like PWC,Accenture, Google,Amazon,Microsoft and many more comapnies visit for their on campus internships and if you are capable enough fior the job roile then you will definately can crack a on campus internship. "
What are the options for higher studies in foreign universities? ,"Production Engineering is a great choice of subject to pursue for your higher studies. You can appear for the GRE or GMAT examinations and get admitted into prestigious Masters and PhD courses in Industrial Engineering, Operations Research, Supply Chain Managment and Operations Management outside India if you maintain a good academic record and complete relevant coursework while your time in the University."
Why mass number of people get supply in projection and spatial grapics ?,"I think it is more kind of practical where you can't know half answer for a particular question and get marks for it ,you can eithjer complete with right priocess or you will not get marks for your effort here because step marking is very illogical for these kind of subject and the steps for answering a question are inter related so if you make mistake in one step then automatically all the opreceding steps will be wring even if you have done the preceding steps right because they are interconnected and also this paper challenges students in terms of time to complete the question paper within stipulated time in the examination hall. "
What do production engineers do actually in real life?,"If you are asking about the core sector then a  mechanical engineers focus more on product development works to design and manufacture new products for customers whereas Production Engineers focuses more on making the manufacture more resourceful, Product Engineers work on the products and process designed by Mechanical Engineers, and other non-core sectors students mainly pursue either Higher Studies or Consulting jobs or Software developement roles."
What is the scope of research internship from Production Engineering and how to get them?,"You can get research internships by appying for programs which are looking for research interns such as MITACS, DAAD-WISE scholarship, Charpak Scholarship, OIST, ANU fellowship etc. You can also look for internships in consulancy and core domains by cold messaging on hiring sites."
Can I get IT placements from Production Eng (on campus)?,"Since you are in ju ,you are going to have ample opportunities for sure . Every year lots of students from our dept are cracking big companies with a decent salary.Speaking specifically about IT companies, If you're good enough to beat them, then you're all set. We have examples where our cs/it/etce friends have not secured an internship/placement but we, core students have cracked them."
I am a non-bengali and i feel so underrated in my class. Why? ,"Yes, this feeling often arises in the students who are not so connected with Bengali culture or from outside West Bengal but this cannot make you feel underrated in the class. A class is not only a group of students studying together but it's a team experiencing the best lessons of their life together.So whenever you feel underrated or low, start forcing yourself into the conversations with fellow mates from diverse backgrounds. This will help you make a better bond with your team mates and will develop a sense of trust. Once this trust is developed among your friend circle then these 4 years will be less to explore the essence of friendship."
Is it necessary to attend theory classes other than ED and labs.. ,"It is not mandatory to attend theory class but some professor will not allow you sit in the class test if your attendance is very low. Also i will suggest not to miss classes regularly even if the professor is cool with your low attendance, also it gives a very wrong impression of yourselvbes on the professors if you skip their classes on a regular basis so try to attend classes and keep a good impression of yourselves infront of the professors it will help you unknowingly througout your curriculum. "
How to increase public connections within the campus ?,"Best way to increase your connections within campus is to take part in the different clubs and its activities around the campus. There are several clubs working towards a common goal such as the Team XLR8 - Motorsports Club, Entrepreneurship Cell, Finance Club, JUMHC etc. You come to meet several like minded seniors and batchmates who are very helpful and this helps a lot in your career as well. Try to increase your presence within the University campus to make the best of networking."
How can we apply for internships..?,"For on campus internships depending on which domain you are targeting you have take different steps for applying but don't worry about that as it is provided by the university you will get proper guide for it either by your seniors or batchmates.                                                                        You can use either of the following steps to get an Internship outside the University:
1. Cold mailing or Cold Messaging recruiters or Professors depending upon the type of Internship you want to do and wait for a reply regarding relevant opportunities.
2. Looking out for jobs posted on hiring sites such as LinkedIn, Internshala, Cuvette etc. for opportunities in areas that interest you.
3. Use your personal contacts for getting an Internship/ Industrial Training."
What are the ways to make good connections with professors and seniors ?,"In Jadavpur University making connections with seniors is extremely important as they are the ones who would be helping you several in all situations within and outside the University when you move out to build a career for yourself. Best way to increase your connections within campus is to take part in the different clubs and its activities around the campus. There are several clubs working towards a common goal such as the Team XLR8 - Motorsports Club, Entrepreneurship Cell, Finance Club, JUMHC etc. You come to meet several like minded seniors and batchmates who are very helpful and this helps a lot in your career as well. Try to increase your presence within the University campus to make the best of networking. Increasing connections with professors means working under their guidance on a research project which would you earn perks such as a letter of recommendation in case you apply for higher studies within and outside India."
"Our semester started lately, so what are the consequences?",There is no such big concerns that you have to worry about your whole academic year will be postponing by some months and at max you will get a little bit less time for each semester in your 1st or 2nd year of curriculum also university will do it's best to organise the academic calendar such that you all the students in 1st year will not much difficulty in completing your curriculum in time and also make sure that you get proper time for preperation for the semester and also you amy get less holidays comapre to those whose academic year have started on time. 
What is the difference of this branch with circuital branch?,If you are asking in terms of curriculum then every dept has diffrent curriculum but the main difference between circuital and non-circuital branches is that circuital that they have coding part in their curriculum which is not present in any of the non-circuital branches so comapnies prefer them over other departments for circuital jobs because they get good amount thoeretical and practical study within their curriculum that is taught by university professors but non-circuital branches don't have that privilage. 
What will be the roadmap for getting an IT job from Production?,"First you need to learn a language preferably C++/Java , then focus on dsa and problem solving skills. Try to give contests regularly. You also need to do development and have some good projects .At last study the core topics like os,dbms,oops ,networking,system design."
Why is the semester duration so short? ,"Ideally if there is no delay in begining the session according to the usual academic that our University follow then you would get roughly about 5 months from an entire semester in which you can assume your last month is reserved for your final semester exams for that particular semester and within this remianing 4 months you have to complete your entire curriculum for that semester along with the holidays in between and 2 class tests for each subject on that particular semester so roughly if you calculate you get around 3 months for your curriculum and preperationfor the semester .Now if your session starts in delay than the usual academic calendar then the whole process will reduce down to 4 months means you will get 4 for the entire semester including sem exams, 2 CTs, holidays.   "
can we prepare for semesters exam by following youtube channels?,"Yes, you can follow youtube channel for understanding a particular topic in which you have doubts to get a more clear picture about the topic and able to answer the questions properly , also you should follow previous year question for more clearity about questions you may get for any particular topic and ask specific seniors for preperations tips who ahve scored well in that particular subject.  "
How can we increase unity in our batch ?,Conduct more General body Meetings and try to prove everyone that everyone's point of view is important to take any decision as a batch and make everyone understand how much important is it to remiain united in a batch and try to draw a boundary between unnecceassry reasons one making so that only logical and important points comes out from a class Gb which are unavoidable . 
What happens if someone gets supply in a particular subject ? He gets the result or not?,"Yes he receives the grade card along with every other students of his batch the only difference is he is not given the cgpa because he is supposed to clear that particular subject first to get the overall cgpa for that semester, and as soons as he clears that particular subject he takes the grade card with cgpa. "
What  things should we learn as a production engineer?,"Production Engineering is a multi-displinary intricated study dealing with process, methodology and management. Your coursework equips you with knowledge of several industrial ready subjects in Manufacturing Engineering and Managment Sciences. Apart from this your department also enables you to work synergically in a team, time managment, pressure management which are very important soft skills which would act as a catalyst for your hard skills. Your department trains you to be ready to face the world as well trained and educated Engineers."
Why every teacher take one class in a week when they are to take two classes? ,"It usually takes very less time as compare to the time allocated for each subject in curriculum to finish a subject in any particular semester for a Professor who is teaching that aprticular subjects for years, also on the intial days of any semster Professors start it slow so that students doesn't feel pressure from starting of the semester. "
what are the procedures to get internships and industrial training in our deptartment?,"For on campus internships depending on which domain you are targeting you have take different steps for applying but don't worry about that as it is provided by the university you will get proper guide for it either by your seniors or batchmates.                                                                        You can use either of the following steps to get an Internship outside the University:
1. Cold mailing or Cold Messaging recruiters or Professors depending upon the type of Internship you want to do and wait for a reply regarding relevant opportunities.
2. Looking out for jobs posted on hiring sites such as LinkedIn, Internshala, Cuvette etc. for opportunities in areas that interest you.
3. Use your personal contacts for getting an Internship/ Industrial Training."
how much cgpa should we maintain in  1st year?,So you should try you level best to score a good cgpa but it is advisable you to maintain a cgpa of about 7.5+  and don't let it drop below 7.
How to manage departmental study and other stuffs like programming ?,"For departmental study you can cover most subjects and get a decent gpa just by studying two or three weeks before the exam ,rest of the time you can devote to coding and you can make a routine and follow it for better time mangement."
How to get internships ?,"Target a particular domain , namely core,consultancy and IT, and henceforth prepare for the same.Aptitude plays a very important role when it comes to Internships, and you also have to be good enough for the domain you are applying for internship because roughly 10% of the whole Jadavpur University students get proper on campus internships in MNCs."
Will I be eliminated from internship if I have active backlog ?,"No, chances of getting Industrial Training and Internships are not diminished with your active backlogs until mentioned on the application form of the comapany you are applying for that 'No active Backlogs' ,but you should try to clear the backlogs as early as possible."
What is the difference between production and mechanical engineering?,"Mechanical Engineers focus more on product development works to design and manufacture new products for customers whereas Production Engineers focuses more on making the manufacture more resourceful, Product Engineers work on the products and process designed by Mechanical Engineers."
what is production engineering?,"Production Engineering is a multidisciplinary integrated study that deals with process, methodologies and management which in turns opens up a broad spectrum of oppurtunity and career path to purue."
what should be the minimum sgpa should we mainatain in 1st year?,So you should try you level best to score a good cgpa but it is advisable you to maintain a cgpa of about 7.5+  and don't let it drop below 7.
How production engineeirng is different from mechanical engineering?,"Mechanical Engineers focus more on product development works to design and manufacture new products for customers whereas Production Engineers focuses more on making the manufacture more resourceful, Product Engineers work on the products and process designed by Mechanical Engineers"
how many class tests do we have in one semester?,Usually we have 2 class test in one semester apart from the End semester exam in any semester. Out of which the 1st class test takes place after around 1 month from begining of the curriculum and next class test around 1 month after 1st ct and in the 5th month from the begining of the curriculum end sem takes place generally.
What are the necessary requirement for cracking Mitacs?,"You must be affiliated with a Canadian post-secondary institution (university, college, etc.) as a student, researcher, or faculty member.
You must have a supervisor at your institution who will oversee your participation in the program and provide mentorship.
You must have a research project or training program that aligns with the mission and goals of MITACS.
You must be able to demonstrate the potential impact of your project or training program on your field of study or on society more broadly.
You must be able to commit to the time and effort required to complete your project or training program."
Do all PSUs allow production engineering students to sit for mechanical posts after giving GATE? ,"No , very few PSUs allow production engineers actually to sit for their mechanical posts even after you have done your mtech from a good institute beacuse your bachelors is in Production engineering and to name some of them which does allow us are GAIL, IOCL, HPCL etc."
How is the core placement scenario in production engineering?,"No company come for Production engineers only in core sectors basically comapanies like ITC, Tata , Bajaj Auto etc allow Mechanical and Production deptartment students only for their job role as.GET and also their are some companies like L&T, Adani, Maruti Suzuki, tega, Godrej, Unilever which allow production engineering students for their campus placements but all of these companies do not visit campus every year they come according to their vacancies and similar goes for PSUs."
Which companies that come for on campus placement in the core sector for production?,"No company come for Production engineers only in core sectors basically comapanies like ITC, Tata , Bajaj Auto etc allow Mechanical and Production deptartment students only for their job role as.GET  and also their are some companies like L&T, Adani, Maruti Suzuki, tega, Godrej, Unilever which allow production engineering students for their campus placements but all of these companies do not visit campus every year they come according to their vacancies and similar goes for PSUs. "
What is the scope in Core Engineering after 3 years?,"It is difficult to say exactly what the scope of ""core engineering"" will be after 3 years, as this can vary depending on the specific field or industry in which you are working. However, in general, core engineering refers to the fundamental principles and practices of engineering that are applicable across a wide range of fields and industries. These principles and practices include problem-solving, design, analysis, testing, and the use of math, science, and technology to solve real-world problems. After 3 years of working in core engineering, you can expect to have a strong foundation in these skills, as well as a broad understanding of the various fields and industries in which engineering is applied."
Should our Department name be changed?,"Production Engineering was a department started by Prof. Amitabha Bhattacharya, the name of the department has a deep emotion and history behind it. Production Engineering in this modern time even though may sound like a misnomer when IITs have Industrial Engineering or Manufacturing Sciences department, the change of name would depend upon the stakeholders of the department which includes students and Professors."
Will professors guide us for the research work if anyone is interested?,"There are several opportunities to pursue research work at an UG level at Jadavpur University, You can approach a professor regarding a field or study of your choice and the Professor can be your advisor. If your work is good enought it can also be published in prestigious conferences and journals"
What is the scope of Research projects within our department ?,"There are several opportunities to pursue research work at an UG level at Jadavpur University, You can approach a professor regarding a field or study of your choice and the Professor can be your advisor. If your work is good enought it can also be published in prestigious conferences and journals"
Will i be able to sit for internships and placements if I'm having backlogs in 2-3 subjects?,"yes, chances of getting Industrial Training and Internships are not diminished with your active backlogs until mentioned on the application form of the comapany you are applying for that 'No active Backlogs' for the students spplying ,but you should try to clear the backlogs as early as possible."
Why the monitors of the computer lab of our department are the old fashioned ? ,"Jadavpur University being a state funded university faces shortage of monetary funding which results in poor infrastructure and at university level they are doing their best to provide the best facility they can , but often they have turn to the alumnis for funding."
Which subjects should we put our main focus on if we were to attempt gate examination?,You main focus should be on the GATE mechanical suibjects as you should appear on the GATE mechanical paper because If you want to get PSU through GATE then focus on GATE ME paper rather than GATE PI paper beacuse through GATE PI paper hardly 15-20 is selected in PSU.
On which subjects should we focus more in second year in Production Engineering curriculum?,"So in your 2nd year according to curriculum you will have many different subjects like Fluid mechanics,Thermodynamics and heat transfer, Analysis and synthesis of mechanism, Projection ans spatial graphics, Material science and technology, Machine dynamics, Primary production process each of which has it own importance which depends on you either you will be doing higher studies, targeting core jobs or preparing for GATE or any other thing so you have to choose according to you future on which subjects will you focus more like for example in Gate you need an overview of all the curriculum you will be taught in your entire degree and in Higher studies you will be basically focusing on 1 or a bunch of subjects for your research , you have to study those subjects in depth and also out of the curriculum for your higher studies."
Which subject is demanding in core Engineering?,"Subjects such as Strength of Material, Theory of Machines, Design of Engineering Systems and Machine Design plays an important role when it comes to Core Sector.  "
Are on campus internships available? ,"Yes, many companies visit Campus for On Campus Interships and some of them allow Production engineering students to apply for their Internships like Pwc, ITC, Accenture, Amazon, Google and many more.Now it depends on you on which domain do you wnat to work in so try to do a internship in that domain so you will get a motre clear picture of how the work is done that particular sector."
How vivid and dispersed is the course of B.E Production Engineering ?,"Production Engineering is a multidisciplinary integrated study that deals with process, methodologies and management which in turns opens up a broad spectrum of oppurtunity and career path to purue."
